qid,display_index,page,set_id,cooldown_block,condition,condition_label,expected_accent,source_index,audio,audio_filename,selected_source_path,selected_item_id,selected_method,selected_direction,selected_source_accent,selected_target_accent,selected_source_speaker_id,selected_utterance_id,selected_target_ref_id,selected_phonos_run,selected_accent_pred_label,selected_expected_tgt_label,selected_recall_tgt_hit,selected_nisqa_mos
Q011,11,3,3,1,seedvc_ind2ame,SeedVC converted: Indian to American,American,1,audio/Q011__seedvc_ind2ame__src01.wav,Q011__seedvc_ind2ame__src01.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/SLT/S_023511/00019791_000332.v2.vad.wav,seedvc::ind2ame::SLT::S_023511::00019791_000332.v2.vad,seedvc,ind2ame,ind,ame,S_023511,00019791_000332.v2.vad,SLT,,,,,
Q012,12,3,3,1,phonos_ame2ind,PHONOS converted: American to Indian,Indian,4,audio/Q012__phonos_ame2ind__src04.wav,Q012__phonos_ame2ind__src04.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2ind/rajasthanimale/2428/2428-83699-0042.wav,phonos::ame2ind::rajasthanimale::2428-83699-0042,PHONOS,ame2ind,american,indian,2428,2428-83699-0042,rajasthanimale,full,south_asian,south_asian,1,4.58651
Q013,13,3,3,1,phonos_ame2ind,PHONOS converted: American to Indian,Indian,5,audio/Q013__phonos_ame2ind__src05.wav,Q013__phonos_ame2ind__src05.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2ind/rajasthanimale/2035/2035-147961-0018.wav,phonos::ame2ind::rajasthanimale::2035-147961-0018,PHONOS,ame2ind,american,indian,2035,2035-147961-0018,rajasthanimale,full,south_asian,south_asian,1,4.5766497
Q014,14,3,3,1,gt_american,Original American samples,American,1,audio/Q014__gt_american__src01.wav,Q014__gt_american__src01.wav,/data/waris/code/PHONOSv2/evaluation/final/american/1462/wav/1462-170142-0042.wav,gt::american::1462-170142-0042,original,reference,american,american,1462,1462-170142-0042,,,,,,
Q015,15,3,3,1,seedvc_ame2ind,SeedVC converted: American to Indian,Indian,2,audio/Q015__seedvc_ame2ind__src02.wav,Q015__seedvc_ame2ind__src02.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/rajasthanimale/5895/5895-34622-0004.wav,seedvc::ame2ind::rajasthanimale::5895::5895-34622-0004,seedvc,ame2ind,ame,ind,5895,5895-34622-0004,rajasthanimale,,,,,
Q016,16,4,4,2,phonos_ame2ind,PHONOS converted: American to Indian,Indian,6,audio/Q016__phonos_ame2ind__src06.wav,Q016__phonos_ame2ind__src06.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2ind/rajasthanimale/7976/7976-105575-0016.wav,phonos::ame2ind::rajasthanimale::7976-105575-0016,PHONOS,ame2ind,american,indian,7976,7976-105575-0016,rajasthanimale,full,south_asian,south_asian,1,4.6256957
Q017,17,4,4,2,seedvc_ind2ame,SeedVC converted: Indian to American,American,2,audio/Q017__seedvc_ind2ame__src02.wav,Q017__seedvc_ind2ame__src02.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/CLB/S_012003/00329018_000004.v2.vad.wav,seedvc::ind2ame::CLB::S_012003::00329018_000004.v2.vad,seedvc,ind2ame,ind,ame,S_012003,00329018_000004.v2.vad,CLB,,,,,
Q018,18,4,4,2,seedvc_ind2ame,SeedVC converted: Indian to American,American,3,audio/Q018__seedvc_ind2ame__src03.wav,Q018__seedvc_ind2ame__src03.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/SLT/S_010668/00289383_000133.v2.vad.wav,seedvc::ind2ame::SLT::S_010668::00289383_000133.v2.vad,seedvc,ind2ame,ind,ame,S_010668,00289383_000133.v2.vad,SLT,,,,,
Q019,19,4,4,2,gt_american,Original American samples,American,2,audio/Q019__gt_american__src02.wav,Q019__gt_american__src02.wav,/data/waris/code/PHONOSv2/evaluation/final/american/7850/wav/7850-281318-0008.wav,gt::american::7850-281318-0008,original,reference,american,american,7850,7850-281318-0008,,,,,,
Q020,20,4,4,2,phonos_ind2ame,PHONOS converted: Indian to American,American,3,audio/Q020__phonos_ind2ame__src03.wav,Q020__phonos_ind2ame__src03.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_017753/00326797_000007.v2.vad.wav,phonos::ind2ame::SLT::00326797_000007.v2.vad,PHONOS,ind2ame,indian,american,S_017753,00326797_000007.v2.vad,SLT,full,north_american,north_american,1,4.8984985
Q021,21,5,5,2,gt_american,Original American samples,American,3,audio/Q021__gt_american__src03.wav,Q021__gt_american__src03.wav,/data/waris/code/PHONOSv2/evaluation/final/american/2412/wav/2412-153948-0005.wav,gt::american::2412-153948-0005,original,reference,american,american,2412,2412-153948-0005,,,,,,
Q022,22,5,5,2,seedvc_ind2ame,SeedVC converted: Indian to American,American,4,audio/Q022__seedvc_ind2ame__src04.wav,Q022__seedvc_ind2ame__src04.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/SLT/S_009043/00105391_000053.v2.vad.wav,seedvc::ind2ame::SLT::S_009043::00105391_000053.v2.vad,seedvc,ind2ame,ind,ame,S_009043,00105391_000053.v2.vad,SLT,,,,,
Q023,23,5,5,2,gt_indian,Original Indian samples,Indian,5,audio/Q023__gt_indian__src05.wav,Q023__gt_indian__src05.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_021705/wav/00081960_000072.v2.vad.wav,gt::indian::00081960_000072.v2.vad,original,reference,indian,indian,S_021705,00081960_000072.v2.vad,,,,,,
Q024,24,5,5,2,phonos_ind2ame,PHONOS converted: Indian to American,American,4,audio/Q024__phonos_ind2ame__src04.wav,Q024__phonos_ind2ame__src04.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_000784/00486562_000050.v2.vad.wav,phonos::ind2ame::SLT::00486562_000050.v2.vad,PHONOS,ind2ame,indian,american,S_000784,00486562_000050.v2.vad,SLT,full,north_american,north_american,1,4.907443
Q025,25,5,5,2,seedvc_ame2ind,SeedVC converted: American to Indian,Indian,3,audio/Q025__seedvc_ame2ind__src03.wav,Q025__seedvc_ame2ind__src03.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/telugufemale/4970/4970-29095-0025.wav,seedvc::ame2ind::telugufemale::4970::4970-29095-0025,seedvc,ame2ind,ame,ind,4970,4970-29095-0025,telugufemale,,,,,
Q026,26,6,6,2,seedvc_ind2ame,SeedVC converted: Indian to American,American,5,audio/Q026__seedvc_ind2ame__src05.wav,Q026__seedvc_ind2ame__src05.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/SLT/S_021705/00081913_000064.v2.vad.wav,seedvc::ind2ame::SLT::S_021705::00081913_000064.v2.vad,seedvc,ind2ame,ind,ame,S_021705,00081913_000064.v2.vad,SLT,,,,,
Q027,27,6,6,2,gt_indian,Original Indian samples,Indian,6,audio/Q027__gt_indian__src06.wav,Q027__gt_indian__src06.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_016935/wav/00199790_000028.v2.vad.wav,gt::indian::00199790_000028.v2.vad,original,reference,indian,indian,S_016935,00199790_000028.v2.vad,,,,,,
Q028,28,6,6,2,phonos_ind2ame,PHONOS converted: Indian to American,American,5,audio/Q028__phonos_ind2ame__src05.wav,Q028__phonos_ind2ame__src05.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_002906/00337562_000049.v2.vad.wav,phonos::ind2ame::SLT::00337562_000049.v2.vad,PHONOS,ind2ame,indian,american,S_002906,00337562_000049.v2.vad,SLT,full,north_american,north_american,1,4.8985343
Q029,29,6,6,2,phonos_ame2ind,PHONOS converted: American to Indian,Indian,7,audio/Q029__phonos_ame2ind__src07.wav,Q029__phonos_ame2ind__src07.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full_r1/ame2ind/Telu0088/908/908-31957-0000.wav,phonos::ame2ind::Telu0088::908-31957-0000,PHONOS,ame2ind,american,indian,908,908-31957-0000,Telu0088,full_r1,south_asian,south_asian,1,4.5776334
Q030,30,6,6,2,gt_american,Original American samples,American,4,audio/Q030__gt_american__src04.wav,Q030__gt_american__src04.wav,/data/waris/code/PHONOSv2/evaluation/final/american/2094/wav/2094-142345-0016.wav,gt::american::2094-142345-0016,original,reference,american,american,2094,2094-142345-0016,,,,,,
Q031,31,7,7,3,phonos_ind2ame,PHONOS converted: Indian to American,American,6,audio/Q031__phonos_ind2ame__src06.wav,Q031__phonos_ind2ame__src06.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_015647/00323141_000021.v2.vad.wav,phonos::ind2ame::SLT::00323141_000021.v2.vad,PHONOS,ind2ame,indian,american,S_015647,00323141_000021.v2.vad,SLT,full,north_american,north_american,1,4.899768
Q032,32,7,7,3,gt_american,Original American samples,American,5,audio/Q032__gt_american__src05.wav,Q032__gt_american__src05.wav,/data/waris/code/PHONOSv2/evaluation/final/american/6313/wav/6313-66129-0024.wav,gt::american::6313-66129-0024,original,reference,american,american,6313,6313-66129-0024,,,,,,
Q033,33,7,7,3,gt_indian,Original Indian samples,Indian,7,audio/Q033__gt_indian__src07.wav,Q033__gt_indian__src07.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_003633/wav/00286829_000009.v2.vad.wav,gt::indian::00286829_000009.v2.vad,original,reference,indian,indian,S_003633,00286829_000009.v2.vad,,,,,,
Q034,34,7,7,3,phonos_ind2ame,PHONOS converted: Indian to American,American,7,audio/Q034__phonos_ind2ame__src07.wav,Q034__phonos_ind2ame__src07.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_015647/00323152_000049.v2.vad.wav,phonos::ind2ame::SLT::00323152_000049.v2.vad,PHONOS,ind2ame,indian,american,S_015647,00323152_000049.v2.vad,SLT,full,north_american,north_american,1,4.941104
Q035,35,7,7,3,seedvc_ame2ind,SeedVC converted: American to Indian,Indian,4,audio/Q035__seedvc_ame2ind__src04.wav,Q035__seedvc_ame2ind__src04.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/Telu0088/4970/4970-29093-0013.wav,seedvc::ame2ind::Telu0088::4970::4970-29093-0013,seedvc,ame2ind,ame,ind,4970,4970-29093-0013,Telu0088,,,,,
Q036,36,8,8,3,seedvc_ame2ind,SeedVC converted: American to Indian,Indian,5,audio/Q036__seedvc_ame2ind__src05.wav,Q036__seedvc_ame2ind__src05.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/Hindi0000/1919/1919-142785-0008.wav,seedvc::ame2ind::Hindi0000::1919::1919-142785-0008,seedvc,ame2ind,ame,ind,1919,1919-142785-0008,Hindi0000,,,,,
Q037,37,8,8,3,seedvc_ame2ind,SeedVC converted: American to Indian,Indian,6,audio/Q037__seedvc_ame2ind__src06.wav,Q037__seedvc_ame2ind__src06.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/Telu0088/5338/5338-284437-0032.wav,seedvc::ame2ind::Telu0088::5338::5338-284437-0032,seedvc,ame2ind,ame,ind,5338,5338-284437-0032,Telu0088,,,,,
Q038,38,8,8,3,gt_american,Original American samples,American,6,audio/Q038__gt_american__src06.wav,Q038__gt_american__src06.wav,/data/waris/code/PHONOSv2/evaluation/final/american/1320/wav/1320-122617-0002.wav,gt::american::1320-122617-0002,original,reference,american,american,1320,1320-122617-0002,,,,,,
Q039,39,8,8,3,gt_american,Original American samples,American,7,audio/Q039__gt_american__src07.wav,Q039__gt_american__src07.wav,/data/waris/code/PHONOSv2/evaluation/final/american/1089/wav/1089-134691-0002.wav,gt::american::1089-134691-0002,original,reference,american,american,1089,1089-134691-0002,,,,,,
Q040,40,8,8,3,phonos_ind2ame,PHONOS converted: Indian to American,American,8,audio/Q040__phonos_ind2ame__src08.wav,Q040__phonos_ind2ame__src08.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_019904/00473341_000019.v2.vad.wav,phonos::ind2ame::SLT::00473341_000019.v2.vad,PHONOS,ind2ame,indian,american,S_019904,00473341_000019.v2.vad,SLT,full,north_american,north_american,1,4.9346943
Q041,41,9,9,3,gt_indian,Original Indian samples,Indian,8,audio/Q041__gt_indian__src08.wav,Q041__gt_indian__src08.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_022954/wav/00528568_000017.v2.vad.wav,gt::indian::00528568_000017.v2.vad,original,reference,indian,indian,S_022954,00528568_000017.v2.vad,,,,,,
Q042,42,9,9,3,gt_american,Original American samples,American,8,audio/Q042__gt_american__src08.wav,Q042__gt_american__src08.wav,/data/waris/code/PHONOSv2/evaluation/final/american/1919/wav/1919-142785-0003.wav,gt::american::1919-142785-0003,original,reference,american,american,1919,1919-142785-0003,,,,,,
Q043,43,9,9,3,seedvc_ame2ind,SeedVC converted: American to Indian,Indian,7,audio/Q043__seedvc_ame2ind__src07.wav,Q043__seedvc_ame2ind__src07.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/rajasthanimale/7729/7729-102255-0040.wav,seedvc::ame2ind::rajasthanimale::7729::7729-102255-0040,seedvc,ame2ind,ame,ind,7729,7729-102255-0040,rajasthanimale,,,,,
Q044,44,9,9,3,phonos_ind2ame,PHONOS converted: Indian to American,American,9,audio/Q044__phonos_ind2ame__src09.wav,Q044__phonos_ind2ame__src09.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_010645/00106022_000035.v2.vad.wav,phonos::ind2ame::SLT::00106022_000035.v2.vad,PHONOS,ind2ame,indian,american,S_010645,00106022_000035.v2.vad,SLT,full,north_american,north_american,1,4.9093924
Q045,45,9,9,3,gt_american,Original American samples,American,9,audio/Q045__gt_american__src09.wav,Q045__gt_american__src09.wav,/data/waris/code/PHONOSv2/evaluation/final/american/8555/wav/8555-284447-0003.wav,gt::american::8555-284447-0003,original,reference,american,american,8555,8555-284447-0003,,,,,,
Q046,46,10,10,4,seedvc_ind2ame,SeedVC converted: Indian to American,American,6,audio/Q046__seedvc_ind2ame__src06.wav,Q046__seedvc_ind2ame__src06.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/RMS/S_000922/00356491_000506.v2.vad.wav,seedvc::ind2ame::RMS::S_000922::00356491_000506.v2.vad,seedvc,ind2ame,ind,ame,S_000922,00356491_000506.v2.vad,RMS,,,,,
Q047,47,10,10,4,gt_indian,Original Indian samples,Indian,9,audio/Q047__gt_indian__src09.wav,Q047__gt_indian__src09.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_008532/wav/00469903_000030.v2.vad.wav,gt::indian::00469903_000030.v2.vad,original,reference,indian,indian,S_008532,00469903_000030.v2.vad,,,,,,
Q048,48,10,10,4,phonos_ame2ind,PHONOS converted: American to Indian,Indian,8,audio/Q048__phonos_ame2ind__src08.wav,Q048__phonos_ame2ind__src08.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2ind/rajasthanimale/3853/3853-163249-0026.wav,phonos::ame2ind::rajasthanimale::3853-163249-0026,PHONOS,ame2ind,american,indian,3853,3853-163249-0026,rajasthanimale,full,south_asian,south_asian,1,4.5754514
Q049,49,10,10,4,seedvc_ind2ame,SeedVC converted: Indian to American,American,7,audio/Q049__seedvc_ind2ame__src07.wav,Q049__seedvc_ind2ame__src07.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/BDL/S_009220/00365052_000028.v2.vad.wav,seedvc::ind2ame::BDL::S_009220::00365052_000028.v2.vad,seedvc,ind2ame,ind,ame,S_009220,00365052_000028.v2.vad,BDL,,,,,
Q050,50,10,10,4,gt_indian,Original Indian samples,Indian,10,audio/Q050__gt_indian__src10.wav,Q050__gt_indian__src10.wav,/data/waris/code/PHONOSv2/evaluation/final/indian/S_013125/wav/00084020_000016.v2.vad.wav,gt::indian::00084020_000016.v2.vad,original,reference,indian,indian,S_013125,00084020_000016.v2.vad,,,,,,
Q051,51,11,11,4,seedvc_ind2ame,SeedVC converted: Indian to American,American,8,audio/Q051__seedvc_ind2ame__src08.wav,Q051__seedvc_ind2ame__src08.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/SLT/S_014045/00378145_000027.v2.vad.wav,seedvc::ind2ame::SLT::S_014045::00378145_000027.v2.vad,seedvc,ind2ame,ind,ame,S_014045,00378145_000027.v2.vad,SLT,,,,,
Q052,52,11,11,4,phonos_ame2ind,PHONOS converted: American to Indian,Indian,9,audio/Q052__phonos_ame2ind__src09.wav,Q052__phonos_ame2ind__src09.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2ind/rajasthanimale/8297/8297-275155-0019.wav,phonos::ame2ind::rajasthanimale::8297-275155-0019,PHONOS,ame2ind,american,indian,8297,8297-275155-0019,rajasthanimale,full,south_asian,south_asian,1,4.572133
Q053,53,11,11,4,phonos_ind2ame,PHONOS converted: Indian to American,American,10,audio/Q053__phonos_ind2ame__src10.wav,Q053__phonos_ind2ame__src10.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ind2ame/SLT/S_000784/00486613_000019.v2.vad.wav,phonos::ind2ame::SLT::00486613_000019.v2.vad,PHONOS,ind2ame,indian,american,S_000784,00486613_000019.v2.vad,SLT,full,north_american,north_american,1,4.9086556
Q054,54,11,11,4,seedvc_ame2ind,SeedVC converted: American to Indian,Indian,8,audio/Q054__seedvc_ame2ind__src08.wav,Q054__seedvc_ame2ind__src08.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/Telu0088/3752/3752-4944-0037.wav,seedvc::ame2ind::Telu0088::3752::3752-4944-0037,seedvc,ame2ind,ame,ind,3752,3752-4944-0037,Telu0088,,,,,
Q055,55,11,11,4,phonos_ame2ind,PHONOS converted: American to Indian,Indian,10,audio/Q055__phonos_ame2ind__src10.wav,Q055__phonos_ame2ind__src10.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/phonos/full/ame2ind/rajasthanimale/652/652-130726-0020.wav,phonos::ame2ind::rajasthanimale::652-130726-0020,PHONOS,ame2ind,american,indian,652,652-130726-0020,rajasthanimale,full,south_asian,south_asian,1,4.6245565
Q056,56,12,12,4,seedvc_ame2ind,SeedVC converted: American to Indian,Indian,9,audio/Q056__seedvc_ame2ind__src09.wav,Q056__seedvc_ame2ind__src09.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/rajasthanimale/3170/3170-137482-0047.wav,seedvc::ame2ind::rajasthanimale::3170::3170-137482-0047,seedvc,ame2ind,ame,ind,3170,3170-137482-0047,rajasthanimale,,,,,
Q057,57,12,12,4,seedvc_ind2ame,SeedVC converted: Indian to American,American,9,audio/Q057__seedvc_ind2ame__src09.wav,Q057__seedvc_ind2ame__src09.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/CLB/S_016935/00199775_000020.v2.vad.wav,seedvc::ind2ame::CLB::S_016935::00199775_000020.v2.vad,seedvc,ind2ame,ind,ame,S_016935,00199775_000020.v2.vad,CLB,,,,,
Q058,58,12,12,4,gt_american,Original American samples,American,10,audio/Q058__gt_american__src10.wav,Q058__gt_american__src10.wav,/data/waris/code/PHONOSv2/evaluation/final/american/6345/wav/6345-93306-0023.wav,gt::american::6345-93306-0023,original,reference,american,american,6345,6345-93306-0023,,,,,,
Q059,59,12,12,4,seedvc_ame2ind,SeedVC converted: American to Indian,Indian,10,audio/Q059__seedvc_ame2ind__src10.wav,Q059__seedvc_ame2ind__src10.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2ind/Hindi0000/5683/5683-32865-0000.wav,seedvc::ame2ind::Hindi0000::5683::5683-32865-0000,seedvc,ame2ind,ame,ind,5683,5683-32865-0000,Hindi0000,,,,,
Q060,60,12,12,4,seedvc_ind2ame,SeedVC converted: Indian to American,American,10,audio/Q060__seedvc_ind2ame__src10.wav,Q060__seedvc_ind2ame__src10.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ind2ame/SLT/S_015231/00355937_000044.v2.vad.wav,seedvc::ind2ame::SLT::S_015231::00355937_000044.v2.vad,seedvc,ind2ame,ind,ame,S_015231,00355937_000044.v2.vad,SLT,,,,,
